50;50
60;60
70;70
80;80
90;90
100;100
110;110
115;115
120;120
125;125
130;130
140;140
145;145
150;150
155;155
160;160
165;165
170;170
175;175
180;180
185;185
190;190
195;195
200;200
205;205
210;210
215;215
225;225
230;230
240;240
245;245
250;250
255;255
260;260
270;270
280;280
300;300
330;330
2.50;250
2,75;275
2,5;25
2.75;275
2.25;225
2;2
2.00;200
2,25;225
3.00;300
3.75;375
3.50;350
3.25;325
3.60;360
4.50;450
4.1;41
4.10;410
4.00;400
4.60;460
5.40;540
5.50;550
5.00;500
5.10;510
6.70;670
12;12
16;16
16x8.00;16800
17.5x7.50;175750
18.5x6.00;185600
18x9.50;18950
18x10.00;181000
18x10.50;181050
18x6.00;18600
18x7.00;18700
18x8.50;18850
19x8.00;19800
19x7.00;19700
19;19
20x11.00;201100
20;20
20.5x7.00;205700
20x10.00;201000
20x7.00;20700
20x6.00;20600
21x11.00;211100
21x7.00;21700
21x10.00;211000
22x11.00;221100
22x8.00;22800
22x12.00;221200
22x7.00;22700
22x9.00;22900
22x10.00;221000
23x8.00;23800
23x7.00;23700
23x10.00;231000
24x9.00;24900
24x8.00;24800
24x10.00;241000
24x12.00;241200
24x11.00;241100
25x12.00;251200
25x11.00;251100
25x8.00;25800
25x12.50;251250
25x10.00;251000
25x13.00;251300
26x8.00;26800
26x10.00;261000
26x2.25;26225
26x9.00;26900
26x11.00;261100
26x2.00;26200
26x12.00;261200
27x11.00;271100
27x10.00;271000
27x12.00;271200
27x9.00;27900
28x12.00;281200
29x9.00;29900
29x11.00;291100
